Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
196,1,78.99,4.0,3,2018-04-04
65,1,113.9,5.0,3,2018-08-13
57,1,144.95,5.0,3,2018-08-21
61,1,136.86,5.0,3,2018-08-17
195,1,116.24,5.0,3,2018-04-05
154,1,121.7,5.0,3,2018-05-16
129,1,135.54,5.0,3,2018-06-10
90,1,117.43,5.0,3,2018-07-19
172,1,104.44,5.0,3,2018-04-28
123,1,116.88,5.0,3,2018-06-16
146,1,138.25,3.0,3,2018-05-24
92,1,97.3,5.0,3,2018-07-17
100,1,123.02,5.0,3,2018-07-09
132,1,110.66,1.0,1,2018-06-07
134,1,82.12,5.0,3,2018-06-05
170,1,102.17,2.0,1,2018-04-30
197,1,141.02,5.0,3,2018-04-03
135,1,111.87,5.0,3,2018-06-04
89,1,138.24,1.0,1,2018-07-20
168,1,100.47,5.0,3,2018-05-02
71,1,117.46,5.0,3,2018-08-07
142,1,129.09,3.0,3,2018-05-28
158,1,91.19,5.0,3,2018-05-12
198,1,80.15,4.0,3,2018-04-02
145,1,106.3,4.0,3,2018-05-25
167,1,116.72,1.0,1,2018-05-03
75,1,76.51,3.0,3,2018-08-03
49,1,119.42,5.0,3,2018-08-29
135,1,96.26,2.0,1,2018-06-04
151,1,144.58,5.0,3,2018-05-19
78,1,99.65,2.0,1,2018-07-31
190,1,133.75,5.0,3,2018-04-10
93,1,128.84,5.0,3,2018-07-16
157,1,118.58,1.0,1,2018-05-13
195,1,93.85,2.0,1,2018-04-05
81,1,122.83,3.0,3,2018-07-28
99,1,117.79,5.0,3,2018-07-10
52,1,98.26,4.0,3,2018-08-26
152,1,109.07,4.0,3,2018-05-18
93,1,123.49,5.0,3,2018-07-16
126,1,129.19,4.0,3,2018-06-13
134,1,84.44,4.0,3,2018-06-05
110,1,81.17,2.0,1,2018-06-29
125,1,86.58,5.0,3,2018-06-14
196,1,92.36,5.0,3,2018-04-04
161,1,82.08,4.0,3,2018-05-09
105,1,141.56,5.0,3,2018-07-04
158,1,118.5,4.0,3,2018-05-12
183,1,128.25,5.0,3,2018-04-17
65,1,86.58,5.0,3,2018-08-13
111,1,147.81,4.0,3,2018-06-28
157,1,75.84,5.0,3,2018-05-13
131,1,98.34,4.0,3,2018-06-08
67,1,119.19,5.0,3,2018-08-11
173,1,110.55,5.0,3,2018-04-27
120,1,98.61,3.0,3,2018-06-19
163,1,125.5,3.0,3,2018-05-07
198,1,82.92,5.0,3,2018-04-02
184,1,133.75,5.0,3,2018-04-16
175,1,114.85,5.0,3,2018-04-25
96,1,137.98,5.0,3,2018-07-13
72,1,104.79,5.0,3,2018-08-06
196,1,120.09,5.0,3,2018-04-04
68,1,111.35,4.0,3,2018-08-10
77,1,101.79,5.0,3,2018-08-01
85,1,85.58,4.0,3,2018-07-24
177,1,113.82,5.0,3,2018-04-23
97,1,148.18,5.0,3,2018-07-12
77,1,144.82,4.0,3,2018-08-01
176,1,113.65,5.0,3,2018-04-24
189,1,118.66,5.0,3,2018-04-11
74,1,96.98,3.0,3,2018-08-04
123,1,118.6,5.0,3,2018-06-16
161,1,89.36,4.0,3,2018-05-09
60,1,136.97,5.0,3,2018-08-18
150,1,109.44,4.0,3,2018-05-20
62,1,85.81,3.0,3,2018-08-16
63,1,99.67,5.0,3,2018-08-15
87,1,116.83,5.0,3,2018-07-22
125,1,114.06,5.0,3,2018-06-14
128,1,94.52,5.0,3,2018-06-11
81,1,95.3,4.0,3,2018-07-28
144,1,143.49,5.0,3,2018-05-26
86,1,76.64,5.0,3,2018-07-23
155,1,99.91,1.0,1,2018-05-15
107,1,141.28,4.0,3,2018-07-02
125,1,84.66,5.0,3,2018-06-14
172,1,120.22,5.0,3,2018-04-28
159,1,98.68,5.0,3,2018-05-11
127,1,81.46,1.0,1,2018-06-12
165,1,80.88,5.0,3,2018-05-05
177,1,93.32,5.0,3,2018-04-23
118,1,150.78,4.0,3,2018-06-21
155,1,99.75,5.0,3,2018-05-15
161,1,80.6,1.0,1,2018-05-09
129,1,128.85,5.0,3,2018-06-10
136,1,132.59,5.0,3,2018-06-03
175,1,99.9,5.0,3,2018-04-25
141,1,141.74,1.0,1,2018-05-29
161,1,93.39,1.0,1,2018-05-09
125,1,93.83,5.0,3,2018-06-14
131,1,106.34,4.0,3,2018-06-08
82,1,140.92,1.0,1,2018-07-27
136,1,149.36,4.0,3,2018-06-03
138,1,87.97,4.0,3,2018-06-01
57,1,111.74,5.0,3,2018-08-21
187,1,138.92,4.0,3,2018-04-13
154,1,79.29,5.0,3,2018-05-16
178,1,137.41,5.0,3,2018-04-22
192,1,89.96,4.0,3,2018-04-08
109,1,94.87,1.0,1,2018-06-30
156,1,109.0,5.0,3,2018-05-14
180,1,84.49,1.0,1,2018-04-20
154,1,95.01,5.0,3,2018-05-16
137,1,105.54,5.0,3,2018-06-02
71,1,76.51,5.0,3,2018-08-07
59,1,128.57,4.0,3,2018-08-19
168,1,100.61,2.0,1,2018-05-02
162,1,143.81,5.0,3,2018-05-08
55,1,107.82,5.0,3,2018-08-23
157,1,88.46,3.0,3,2018-05-13
148,1,86.4,5.0,3,2018-05-22
149,1,87.32,1.0,1,2018-05-21
79,1,117.93,4.0,3,2018-07-30
64,1,80.85,5.0,3,2018-08-14
195,1,83.3,5.0,3,2018-04-05
175,1,92.1,5.0,3,2018-04-25
65,1,97.32,2.0,1,2018-08-13
177,1,93.39,5.0,3,2018-04-23
161,1,123.21,5.0,3,2018-05-09
166,1,146.92,5.0,3,2018-05-04
185,1,133.21,4.0,3,2018-04-15
130,1,83.38,5.0,3,2018-06-09
93,1,78.7,5.0,3,2018-07-16
191,1,108.51,5.0,3,2018-04-09
62,1,151.34,5.0,3,2018-08-16
187,1,124.79,5.0,3,2018-04-13
128,1,78.72,1.0,1,2018-06-11
153,1,99.43,4.0,3,2018-05-17
196,1,112.25,5.0,3,2018-04-04
159,1,98.54,5.0,3,2018-05-11
154,1,140.54,1.0,1,2018-05-16
128,1,151.02,5.0,3,2018-06-11
92,1,101.56,2.0,1,2018-07-17
157,1,143.75,3.0,3,2018-05-13
76,1,105.85,2.0,1,2018-08-02
198,1,148.28,3.0,1,2018-04-02
156,1,120.28,5.0,3,2018-05-14
166,1,78.42,5.0,3,2018-05-04
92,1,150.98,4.0,3,2018-07-17
172,1,143.32,5.0,3,2018-04-28
70,1,83.94,5.0,3,2018-08-08
62,1,83.82,5.0,3,2018-08-16
108,1,121.9,4.0,3,2018-07-01
183,1,112.62,5.0,3,2018-04-17
62,1,91.23,5.0,3,2018-08-16
80,1,90.29,5.0,3,2018-07-29
90,1,119.52,5.0,3,2018-07-19
128,1,114.48,5.0,3,2018-06-11
132,1,128.66,4.0,3,2018-06-07
172,1,123.27,3.0,3,2018-04-28
59,1,136.63,5.0,3,2018-08-19
59,1,110.11,5.0,3,2018-08-19
195,1,101.26,4.0,3,2018-04-05
163,1,113.13,5.0,3,2018-05-07
171,1,78.81,4.0,3,2018-04-29
120,1,104.84,5.0,3,2018-06-19
124,1,122.5,4.0,3,2018-06-15
170,1,123.64,5.0,3,2018-04-30
88,1,96.65,1.0,1,2018-07-21
88,1,151.7,4.0,3,2018-07-21
109,1,111.14,4.0,3,2018-06-30
196,1,91.5,5.0,3,2018-04-04
184,1,76.38,5.0,3,2018-04-16
163,1,110.36,1.0,1,2018-05-07
182,1,87.32,4.0,3,2018-04-18
182,1,76.29,5.0,3,2018-04-18
118,1,118.7,5.0,3,2018-06-21
77,1,89.08,3.0,3,2018-08-01
134,1,113.21,1.0,1,2018-06-05
197,1,83.33,5.0,3,2018-04-03
175,1,133.76,5.0,3,2018-04-25
71,1,97.88,1.0,1,2018-08-07
183,1,91.44,4.0,3,2018-04-17
163,1,93.44,5.0,3,2018-05-07
57,1,134.41,5.0,3,2018-08-21
71,1,82.96,5.0,3,2018-08-07
115,1,145.12,3.0,3,2018-06-24
112,1,123.68,5.0,3,2018-06-27
165,1,97.88,1.0,1,2018-05-05
90,1,123.74,2.0,1,2018-07-19
75,1,86.06,5.0,3,2018-08-03
92,1,101.59,5.0,3,2018-07-17
58,1,122.75,5.0,3,2018-08-20
123,1,146.0,5.0,3,2018-06-16
117,1,123.4,3.0,3,2018-06-22
138,1,112.5,2.0,1,2018-06-01
