Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
153,0.0,4.761746493030188,4.0,1,2018-05-17
148,0.0,4.622223940553919,5.0,1,2018-05-22
79,0.0,4.946416721769604,4.0,0,2018-07-30
60,0.0,4.930870325627393,5.0,0,2018-08-18
65,0.0,4.880602536010955,4.0,1,2018-08-13
64,0.0,4.5860892981753,5.0,1,2018-08-14
194,0.0,4.959622662073724,4.0,0,2018-04-06
127,0.0,4.664099253517379,5.0,1,2018-06-12
176,0.0,4.542336876816522,5.0,1,2018-04-24
60,0.0,4.94121375931775,3.0,0,2018-08-18
129,0.0,4.704200709451046,5.0,1,2018-06-10
75,0.0,4.983195578337474,3.0,0,2018-08-03
175,0.0,4.674882798399391,5.0,1,2018-04-25
56,0.0,4.769073157258028,5.0,1,2018-08-22
160,0.0,4.958218561871125,5.0,0,2018-05-10
86,0.0,4.7660127111049215,5.0,1,2018-07-23
155,0.0,4.327834405590455,5.0,1,2018-05-15
122,0.0,4.620551288026394,4.0,1,2018-06-17
181,0.0,4.600358628990869,5.0,1,2018-04-19
135,0.0,4.923260214611255,4.0,0,2018-06-04
167,0.0,4.630155438682,5.0,1,2018-05-03
150,0.0,4.544464310870697,3.0,1,2018-05-20
142,0.0,4.492673154760945,5.0,1,2018-05-28
86,0.0,4.810882695572622,5.0,1,2018-07-23
167,0.0,4.410978456623649,5.0,1,2018-05-03
190,0.0,4.481419378551917,3.0,1,2018-04-10
119,0.0,4.4591034098533076,1.0,2,2018-06-20
163,0.0,4.542336876816522,5.0,1,2018-05-07
189,0.0,4.417635062141249,5.0,1,2018-04-11
90,0.0,4.760463070394127,4.0,1,2018-07-19
62,0.0,4.7748285688286485,5.0,1,2018-08-16
154,0.0,5.006961888729947,5.0,0,2018-05-16
123,0.0,4.99734739976932,5.0,0,2018-06-16
177,0.0,4.999574346736831,5.0,0,2018-04-23
154,0.0,4.842137743895371,5.0,0,2018-05-16
131,0.0,4.770345583947075,5.0,1,2018-06-08
92,0.0,4.687026632457924,5.0,1,2018-07-17
98,0.0,4.808519109974122,5.0,1,2018-07-11
166,0.0,4.94790846418795,5.0,0,2018-05-04
159,0.0,4.590259573252337,1.0,2,2018-05-11
100,0.0,4.718945200246936,5.0,1,2018-07-09
157,0.0,4.768818477516425,1.0,2,2018-05-13
121,0.0,4.599655005299981,4.0,1,2018-06-18
136,0.0,4.932385422775199,5.0,0,2018-06-03
128,0.0,4.895673275626574,5.0,0,2018-06-11
85,0.0,4.81112688587948,3.0,1,2018-07-24
55,0.0,4.919469846344143,5.0,0,2018-08-23
177,0.0,4.765160922297032,4.0,1,2018-04-23
196,0.0,4.369321262176328,4.0,1,2018-04-04
65,0.0,4.735320870453137,5.0,1,2018-08-13
57,0.0,4.976388855367665,5.0,0,2018-08-21
61,0.0,4.918958505524352,5.0,0,2018-08-17
195,0.0,4.755657019262028,5.0,1,2018-04-05
154,0.0,4.801558999993482,5.0,1,2018-05-16
129,0.0,4.909266799707967,5.0,0,2018-06-10
90,0.0,4.7658424113769895,5.0,1,2018-07-19
172,0.0,4.648612743830928,5.0,1,2018-04-28
123,0.0,4.761147767442444,5.0,1,2018-06-16
146,0.0,4.929063640402444,3.0,0,2018-05-24
92,0.0,4.577798989191959,5.0,1,2018-07-17
100,0.0,4.812346943780222,5.0,1,2018-07-09
132,0.0,4.7064624374699635,1.0,2,2018-06-07
134,0.0,4.408181592150733,5.0,1,2018-06-05
170,0.0,4.626638092603332,2.0,2,2018-04-30
197,0.0,4.948901724290895,5.0,0,2018-04-03
135,0.0,4.717337482858839,5.0,1,2018-06-04
89,0.0,4.928991305055746,1.0,2,2018-07-20
168,0.0,4.609859175474223,5.0,1,2018-05-02
71,0.0,4.766097850094374,5.0,1,2018-08-07
142,0.0,4.860509835518618,3.0,0,2018-05-28
158,0.0,4.512945241945574,5.0,1,2018-05-12
198,0.0,4.383899879055562,4.0,1,2018-04-02
145,0.0,4.666265285347902,4.0,1,2018-05-25
167,0.0,4.7597779042145305,1.0,2,2018-05-03
75,0.0,4.3374214512437606,3.0,1,2018-08-03
49,0.0,4.782646691118846,5.0,1,2018-08-29
135,0.0,4.567052863874963,2.0,2,2018-06-04
151,0.0,4.973832987572151,5.0,0,2018-05-19
78,0.0,4.6016640466588035,2.0,2,2018-07-31
190,0.0,4.8959723857761155,5.0,0,2018-04-10
93,0.0,4.858571324462998,5.0,1,2018-07-16
157,0.0,4.775587838279222,1.0,2,2018-05-13
195,0.0,4.541697763032518,2.0,2,2018-04-05
81,0.0,4.810801285551003,3.0,1,2018-07-28
99,0.0,4.768903377970693,5.0,1,2018-07-10
52,0.0,4.587617026740502,4.0,1,2018-08-26
152,0.0,4.691989877940651,4.0,1,2018-05-18
93,0.0,4.816160181129731,5.0,1,2018-07-16
126,0.0,4.86128418897221,4.0,0,2018-06-13
134,0.0,4.43604122298012,4.0,1,2018-06-05
110,0.0,4.3965457207730845,2.0,2,2018-06-29
125,0.0,4.461068842013835,5.0,1,2018-06-14
196,0.0,4.525693984486295,5.0,1,2018-04-04
161,0.0,4.407694381422459,4.0,1,2018-05-09
105,0.0,4.9527236554772625,5.0,0,2018-07-04
158,0.0,4.774912960575186,4.0,1,2018-05-12
183,0.0,4.853981484050879,5.0,0,2018-04-17
65,0.0,4.461068842013835,5.0,1,2018-08-13
111,0.0,4.995927665223982,4.0,0,2018-06-28
157,0.0,4.328625857946767,5.0,1,2018-05-13
131,0.0,4.5884308619837935,4.0,1,2018-06-08
67,0.0,4.780718858494617,5.0,1,2018-08-11
173,0.0,4.705467907303455,5.0,1,2018-04-27
120,0.0,4.591172676344238,3.0,1,2018-06-19
163,0.0,4.832305758571839,3.0,2,2018-05-07
198,0.0,4.417876287567579,5.0,1,2018-04-02
184,0.0,4.8959723857761155,5.0,0,2018-04-16
175,0.0,4.743626929135107,5.0,1,2018-04-25
96,0.0,4.927108747117963,5.0,0,2018-07-13
72,0.0,4.65195834748685,5.0,1,2018-08-06
196,0.0,4.788241461672592,5.0,1,2018-04-04
68,0.0,4.712678393703377,4.0,1,2018-08-10
77,0.0,4.622911867464248,5.0,1,2018-08-01
85,0.0,4.449451610988671,4.0,1,2018-07-24
177,0.0,4.734618253174978,5.0,1,2018-04-23
97,0.0,4.998427750988511,5.0,0,2018-07-12
77,0.0,4.975491591960675,4.0,0,2018-08-01
176,0.0,4.7331235502985525,5.0,1,2018-04-24
189,0.0,4.776262260830497,5.0,1,2018-04-11
74,0.0,4.574504771677206,3.0,1,2018-08-04
123,0.0,4.775756486563625,5.0,1,2018-06-16
161,0.0,4.492673154760945,4.0,1,2018-05-09
60,0.0,4.91976192374673,5.0,0,2018-08-18
150,0.0,4.69537645387424,4.0,1,2018-05-20
62,0.0,4.45213554981903,3.0,1,2018-08-16
63,0.0,4.601864728979365,5.0,1,2018-08-15
87,0.0,4.760719886729057,5.0,1,2018-07-22
125,0.0,4.736724625728393,5.0,1,2018-06-14
128,0.0,4.548811452318707,5.0,1,2018-06-11
81,0.0,4.557029810660157,4.0,1,2018-07-28
144,0.0,4.9662653463603155,5.0,0,2018-05-26
86,0.0,4.339119133662605,5.0,1,2018-07-23
155,0.0,4.604269780744927,1.0,2,2018-05-15
107,0.0,4.9507437368556495,4.0,0,2018-07-02
125,0.0,4.438643235092778,5.0,1,2018-06-14
172,0.0,4.789323397611016,5.0,1,2018-04-28
159,0.0,4.591882291661156,5.0,1,2018-05-11
127,0.0,4.400112102220266,1.0,2,2018-06-12
165,0.0,4.392966574712216,5.0,1,2018-05-05
177,0.0,4.536034447153229,5.0,1,2018-04-23
118,0.0,5.015821820783556,4.0,0,2018-06-21
155,0.0,4.602667055769973,5.0,1,2018-05-15
161,0.0,4.389498649512583,1.0,2,2018-05-09
129,0.0,4.858648937098374,5.0,0,2018-06-10
136,0.0,4.887261660126628,5.0,0,2018-06-03
175,0.0,4.604169685654508,5.0,1,2018-04-25
141,0.0,4.95399439338211,1.0,2,2018-05-29
161,0.0,4.536784273121627,1.0,2,2018-05-09
125,0.0,4.541484634301958,5.0,1,2018-06-14
131,0.0,4.666641508076192,4.0,1,2018-06-08
82,0.0,4.948192353473037,1.0,2,2018-07-27
136,0.0,5.006359499233468,4.0,0,2018-06-03
138,0.0,4.476995847264583,4.0,1,2018-06-01
57,0.0,4.716174744031003,5.0,1,2018-08-21
187,0.0,4.933898227875873,4.0,0,2018-04-13
154,0.0,4.373112017284307,5.0,1,2018-05-16
178,0.0,4.922969157343683,5.0,0,2018-04-22
192,0.0,4.499365127091115,4.0,1,2018-04-08
109,0.0,4.5525075334047855,1.0,2,2018-06-30
156,0.0,4.6913478822291435,5.0,1,2018-05-14
180,0.0,4.436633184164753,1.0,2,2018-04-20
154,0.0,4.553982149218658,5.0,1,2018-05-16
137,0.0,4.659090027977522,5.0,1,2018-06-02
71,0.0,4.3374214512437606,5.0,1,2018-08-07
59,0.0,4.856473503096157,4.0,1,2018-08-19
168,0.0,4.611251656303959,2.0,2,2018-05-02
162,0.0,4.9684929838982885,5.0,0,2018-05-08
55,0.0,4.680463170023523,5.0,1,2018-08-23
157,0.0,4.482550472440181,3.0,1,2018-05-13
148,0.0,4.45898767581001,5.0,1,2018-05-22
149,0.0,4.4695795316817435,1.0,2,2018-05-21
79,0.0,4.770091228101879,4.0,1,2018-07-30
64,0.0,4.392595586023115,5.0,1,2018-08-14
195,0.0,4.422448549172797,5.0,1,2018-04-05
175,0.0,4.522874943261261,5.0,1,2018-04-25
65,0.0,4.578004517915322,2.0,2,2018-08-13
177,0.0,4.536784273121627,5.0,1,2018-04-23
161,0.0,4.813890216636577,5.0,1,2018-05-09
166,0.0,4.989888220951467,5.0,0,2018-05-04
185,0.0,4.891926830363372,4.0,0,2018-04-15
130,0.0,4.423408472452651,5.0,1,2018-06-09
93,0.0,4.365643155423357,5.0,1,2018-07-16
191,0.0,4.686842334632116,5.0,1,2018-04-09
62,0.0,5.019528961266375,5.0,0,2018-08-16
187,0.0,4.826632324519763,5.0,0,2018-04-13
128,0.0,4.365897252743998,1.0,2,2018-06-11
153,0.0,4.599453878991982,4.0,1,2018-05-17
196,0.0,4.720728526622364,5.0,1,2018-04-04
159,0.0,4.590462557115817,5.0,1,2018-05-11
154,0.0,4.945492145764051,1.0,2,2018-05-16
128,0.0,5.0174122783752795,5.0,0,2018-06-11
92,0.0,4.620649756836477,2.0,2,2018-07-17
157,0.0,4.96807567967746,3.0,0,2018-05-13
76,0.0,4.662022997580874,2.0,2,2018-08-02
198,0.0,4.999102378282531,3.0,2,2018-04-02
156,0.0,4.789822358120328,5.0,1,2018-05-14
166,0.0,4.362078996864185,5.0,1,2018-05-04
92,0.0,5.017147377711479,4.0,0,2018-07-17
172,0.0,4.965079892436753,5.0,0,2018-04-28
70,0.0,4.430102257905445,5.0,1,2018-08-08
62,0.0,4.4286716424969255,5.0,1,2018-08-16
108,0.0,4.803201036487226,4.0,1,2018-07-01
183,0.0,4.724019319826472,5.0,1,2018-04-17
62,0.0,4.513383790357383,5.0,1,2018-08-16
80,0.0,4.503026712319388,5.0,1,2018-07-29
90,0.0,4.783483721384507,5.0,1,2018-07-19
128,0.0,4.740400135248196,5.0,1,2018-06-11
132,0.0,4.857173265982854,4.0,0,2018-06-07
172,0.0,4.814377071563428,3.0,2,2018-04-28
59,0.0,4.917276542350397,5.0,0,2018-08-19
59,0.0,4.7014798661255,5.0,1,2018-08-19
195,0.0,4.617691466541763,4.0,1,2018-04-05
163,0.0,4.728537599938376,5.0,1,2018-05-07
171,0.0,4.3670398923655585,4.0,1,2018-04-29
120,0.0,4.6524353784552055,5.0,1,2018-06-19
124,0.0,4.808111029984782,4.0,1,2018-06-15
170,0.0,4.817374117263916,5.0,1,2018-04-30
88,0.0,4.57109620565434,1.0,2,2018-07-21
88,0.0,5.021904886354487,4.0,0,2018-07-21
109,0.0,4.710790667851775,4.0,1,2018-06-30
196,0.0,4.516338972281476,5.0,1,2018-04-04
184,0.0,4.3357208817973705,5.0,1,2018-04-16
163,0.0,4.703747749349085,1.0,2,2018-05-07
182,0.0,4.4695795316817435,4.0,1,2018-04-18
182,0.0,4.334541868102138,5.0,1,2018-04-18
118,0.0,4.776599301615622,5.0,1,2018-06-21
77,0.0,4.489534842389167,3.0,1,2018-08-01
134,0.0,4.729244501090018,1.0,2,2018-06-05
197,0.0,4.422808628394115,5.0,1,2018-04-03
175,0.0,4.8960471493363915,5.0,0,2018-04-25
71,0.0,4.583742238574471,1.0,2,2018-08-07
183,0.0,4.515683019486556,4.0,1,2018-04-17
163,0.0,4.537319519079917,5.0,1,2018-05-07
57,0.0,4.900894830083057,5.0,0,2018-08-21
71,0.0,4.418358563921272,5.0,1,2018-08-07
115,0.0,4.977560986366827,3.0,0,2018-06-24
112,0.0,4.817697584839112,5.0,1,2018-06-27
165,0.0,4.583742238574471,1.0,2,2018-05-05
90,0.0,4.818182590102842,2.0,2,2018-07-19
75,0.0,4.455044727410454,5.0,1,2018-08-03
92,0.0,4.620945105103454,5.0,1,2018-07-17
58,0.0,4.81014976667463,5.0,1,2018-08-20
123,0.0,4.983606621708336,5.0,0,2018-06-16
117,0.0,4.8154311114712876,3.0,1,2018-06-22
138,0.0,4.722953221644475,2.0,2,2018-06-01
146,0.0,4.922750808785736,5.0,0,2018-05-24
138,0.0,4.8970185673092885,5.0,0,2018-06-01
175,0.0,4.880982085869385,4.0,0,2018-04-25
155,0.0,4.911183215124596,5.0,0,2018-05-15
88,0.0,4.93188064540735,5.0,0,2018-07-21
56,0.0,4.432482078162375,5.0,1,2018-08-22
142,0.0,4.686842334632116,5.0,1,2018-05-28
90,0.0,4.86128418897221,5.0,1,2018-07-19
161,0.0,4.759263721325492,5.0,1,2018-05-09
123,0.0,4.866456947080341,5.0,0,2018-06-16
80,0.0,4.511957804265912,5.0,1,2018-07-29
65,0.0,4.958850650946495,5.0,0,2018-08-13
177,0.0,4.505902184329423,3.0,1,2018-04-23
87,0.0,4.5807750291533695,5.0,1,2018-07-22
138,0.0,4.850779482017964,5.0,0,2018-06-01
112,0.0,4.5511362974956056,5.0,1,2018-06-27
172,0.0,4.576667825515379,5.0,1,2018-04-28
66,0.0,4.902678819257608,4.0,0,2018-08-12
93,0.0,4.744149213269543,5.0,1,2018-07-16
106,0.0,4.9596928153586815,5.0,0,2018-07-03
91,0.0,4.4978076676595915,4.0,1,2018-07-18
160,0.0,4.910593939916029,1.0,2,2018-05-10
165,0.0,4.771616393623756,5.0,1,2018-05-05
161,0.0,4.4272389774954295,4.0,1,2018-05-09
166,0.0,4.846703602413892,1.0,2,2018-05-04
155,0.0,4.532599493153256,4.0,1,2018-05-15
75,0.0,4.87870262283543,4.0,0,2018-08-03
98,0.0,4.508989627514122,5.0,1,2018-07-11
165,0.0,4.700480365792417,5.0,1,2018-05-05
195,0.0,4.717158687936139,3.0,2,2018-04-05
65,0.0,4.760120545985914,5.0,1,2018-08-13
71,0.0,4.992403432501452,5.0,0,2018-08-07
112,0.0,4.398637900479079,5.0,1,2018-06-27
120,0.0,4.408425108528412,5.0,1,2018-06-19
58,0.0,4.994438159193685,5.0,0,2018-08-20
72,0.0,4.616802270217799,5.0,1,2018-08-06
75,0.0,4.362078996864185,4.0,1,2018-08-03
111,0.0,4.659658371272161,4.0,1,2018-06-28
73,0.0,4.976733742420574,5.0,0,2018-08-05
195,0.0,4.755829062273205,3.0,2,2018-04-05
