,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),BuildingType,PrimaryPropertyType,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),ENERGYSTARScore,TotalGHGEmissions,AgeBuilding,ProportionGFABuilding,ProportionGFAParking,ProportionElectricity,ProportionNaturalGas,ProportionSteamUse,NumberofFloorsByBuildings
386,1967,1.0,1,124472,0,124472,NonResidential,Distribution Center,"Distribution Center, Parking",Distribution Center,Parking,None,124423.0,0.0,0.0,0.0,1145957.0,4318805.0,5464762.0,43.90000153,62.0,237.36,49,1.0,0.0,0.2096993428076099,0.7903006571923901,0.0,1.0
387,1970,1.0,22,227556,98556,129000,NonResidential,Large Office,"Office, Parking",Office,Parking,None,227556.0,77887.79688,0.0,0.0,8493419.0,0.0,8493420.0,37.29999924,95.0,59.21,46,0.5668934240362812,0.4331065759637188,0.9999998822617979,0.0,0.0,22.0
388,1967,1.0,1,50065,0,50065,NonResidential,Distribution Center,"Distribution Center, Parking",Distribution Center,Parking,None,49918.0,0.0,0.0,0.0,836261.0,693249.0,1529510.25,30.60000038,72.0,42.65,49,1.0,0.0,0.5467508308623626,0.4532490056866242,0.0,1.0
389,1969,1.0,1,57540,0,57540,NonResidential,Distribution Center,Distribution Center,Distribution Center,None,None,57540.0,0.0,0.0,0.0,1310981.0,1271706.0,2582687.0,44.90000153,26.0,76.68,47,1.0,0.0,0.5076035152536873,0.49239648474631265,0.0,1.0
390,1966,1.0,1,85400,0,85400,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,85400.0,0.0,0.0,0.0,1536998.0,0.0,1536998.25,18.0,49.0,10.72,50,1.0,0.0,0.999999837345293,0.0,0.0,1.0
391,1966,1.0,1,55700,0,55700,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,55700.0,0.0,0.0,0.0,519806.0,0.0,519806.0938,9.300000191,63.0,3.62,50,1.0,0.0,0.9999998195480948,0.0,0.0,1.0
392,1964,1.0,1,53250,0,53250,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,52759.0,0.0,0.0,0.0,1048173.0,746014.0,1794187.25,34.0,96.0,46.93,52,1.0,0.0,0.5842049094931424,0.415794951168001,0.0,1.0
393,1987,1.0,6,78672,28427,50245,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,78672.0,0.0,0.0,0.0,1888502.0,291217.0,2179719.75,27.70000076,98.0,28.63,29,0.6386643278421802,0.3613356721578198,0.8663967007685277,0.1336029551505417,0.0,6.0
394,1986,1.0,3,64660,0,64660,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,64660.0,0.0,0.0,0.0,237813.0,87700.0,325513.0,5.0,89.0,6.32,30,1.0,0.0,0.7305791166558632,0.2694208833441368,0.0,3.0
395,1927,1.0,2,75844,19928,55916,NonResidential,Mixed Use Property,"Office, Other, Parking",Other,Office,Parking,28442.0,28441.0,18961.0,0.0,3406851.0,277337.0,3684188.5,64.80000305,,38.48,89,0.7372501450345446,0.2627498549654554,0.9247222285178948,0.07527763576700812,0.0,2.0
396,1968,1.0,1,161678,0,161678,NonResidential,Distribution Center,Distribution Center,Distribution Center,None,None,162425.0,0.0,0.0,0.0,6332002.0,3025227.0,9357230.0,57.59999847,25.0,204.81,48,1.0,0.0,0.6766962017605638,0.3233036913702025,0.0,1.0
397,1949,1.0,1,101101,0,101101,NonResidential,Distribution Center,Distribution Center,Distribution Center,None,None,101101.0,0.0,0.0,0.0,21779250.0,16577.0,21795830.0,215.6000061,1.0,152.71,67,1.0,0.0,0.9992393040320098,0.0007605583269827302,0.0,1.0
398,1980,1.0,1,52613,0,52613,NonResidential,Distribution Center,Distribution Center,Distribution Center,None,None,59504.0,0.0,0.0,0.0,527872.0,533586.0,1061458.25,17.79999924,80.0,32.02,36,1.0,0.0,0.49730830204579407,0.5026914624291628,0.0,1.0
399,1940,1.0,1,56608,0,56608,NonResidential,Other,"Office, Other",Other,Office,None,45340.0,11520.0,0.0,0.0,4253264.0,840932.0,5094197.0,89.59999847,,74.31,76,1.0,0.0,0.8349233451317254,0.16507645856648262,0.0,1.0
400,1953,1.0,1,104099,0,104099,NonResidential,Refrigerated Warehouse,"Office, Parking, Refrigerated Warehouse",Refrigerated Warehouse,Office,Parking,100000.0,4099.0,0.0,0.0,17283711.0,411705.0,17695420.0,170.0,,142.36,63,1.0,0.0,0.9767335841703673,0.02326618978244088,0.0,1.0
401,2003,1.0,1,58184,7450,50734,NonResidential,Supermarket / Grocery Store,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,Parking,None,51722.0,0.0,0.0,0.0,7956442.0,6758820.0,14715262.0,284.5,41.0,414.43,13,0.8719579265777533,0.12804207342224666,0.5406931932302667,0.45930680676973334,0.0,1.0
