,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),BuildingType,PrimaryPropertyType,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),ENERGYSTARScore,TotalGHGEmissions,AgeBuilding,ProportionGFABuilding,ProportionGFAParking,ProportionElectricity,ProportionNaturalGas,ProportionSteamUse,NumberofFloorsByBuildings
0,1927,1.0,12,88434,0,88434,NonResidential,Hotel,Hotel,Hotel,None,None,88434.0,0.0,0.0,2003882.0,3946027.0,1276453.0,7226362.5,81.69999695,60.0,249.98,89,1.0,0.0,0.546059929874816,0.1766383848028659,0.277301616131214,12.0
1,1996,1.0,11,103566,15064,88502,NonResidential,Hotel,"Hotel, Parking, Restaurant",Hotel,Parking,Restaurant,83880.0,15064.0,4622.0,0.0,3242851.0,5145082.0,8387933.0,94.80000305,61.0,295.86,20,0.8545468590077825,0.1454531409922175,0.38660907281925116,0.6133909271807488,0.0,11.0
2,1969,1.0,41,956110,196718,759392,NonResidential,Hotel,Hotel,Hotel,None,None,756493.0,0.0,0.0,21566554.0,49526664.0,1493800.0,72587024.0,96.0,43.0,2089.28,47,0.7942517074395206,0.20574829256047944,0.6823074052464253,0.020579435795576907,0.29711307629859574,41.0
3,1926,1.0,10,61320,0,61320,NonResidential,Hotel,Hotel,Hotel,None,None,61320.0,0.0,0.0,2214446.25,2768924.0,1811213.0,6794584.0,110.8000031,56.0,286.43,90,1.0,0.0,0.40751928300540546,0.2665671658485641,0.32591344076399675,10.0
4,1980,1.0,18,175580,62000,113580,NonResidential,Hotel,"Hotel, Parking, Swimming Pool",Hotel,Parking,Swimming Pool,123445.0,68009.0,0.0,0.0,5368607.0,8803998.0,14172606.0,114.8000031,75.0,505.01,36,0.6468846110035311,0.3531153889964688,0.3788016826263286,0.6211982468150177,0.0,18.0
5,1999,1.0,2,97288,37198,60090,Nonresidential COS,Other,Police Station,Police Station,None,None,88830.0,0.0,0.0,0.0,7371434.0,4715182.0,12086616.0,136.1000061,,301.81,17,0.6176506866211661,0.382349313378834,0.609884023783001,0.39011597621699906,0.0,2.0
6,1926,1.0,11,83008,0,83008,NonResidential,Hotel,Hotel,Hotel,None,None,81352.0,0.0,0.0,0.0,2811215.0,2947580.0,5758795.0,70.80000305,27.0,176.14,90,1.0,0.0,0.4881602835315374,0.5118397164684626,0.0,11.0
7,1926,1.0,8,102761,0,102761,NonResidential,Other,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,None,None,102761.0,0.0,0.0,2276286.5,3636655.0,385189.0,6298131.5,61.29999924,,221.51,90,1.0,0.0,0.5774180802671396,0.061159250168085565,0.36142251078752485,8.0
8,1904,1.0,15,163984,0,163984,NonResidential,Hotel,Hotel,Hotel,None,None,163984.0,0.0,0.0,0.0,7297919.0,6425900.0,13723820.0,83.69999695,43.0,392.16,112,1.0,0.0,0.5317702359838588,0.4682296911501317,0.0,15.0
10,1969,1.0,11,153163,19279,133884,NonResidential,Hotel,Hotel,Hotel,None,None,133884.0,0.0,0.0,5237165.5,6187627.0,4591850.0,16016644.0,119.5999985,30.0,691.26,47,0.8741275634454797,0.12587243655452035,0.386324813113159,0.2866923932379342,0.32698269999632884,11.0
11,1998,1.0,25,333176,61161,272015,NonResidential,Hotel,Hotel,Hotel,None,None,336640.0,0.0,0.0,5999360.5,18083049.0,2858700.0,26941110.0,80.0,36.0,740.97,18,0.8164303551276202,0.18356964487237976,0.6712065315794338,0.10610921376290731,0.22268423609866111,25.0
12,1928,1.0,9,65009,0,65009,NonResidential,Hotel,Hotel,Hotel,None,None,65009.0,0.0,0.0,1656352.5,1343000.0,3596705.0,6596057.5,101.5,48.0,328.23,88,1.0,0.0,0.2036064725027033,0.5452810258248961,0.2511125016724005,9.0
13,1980,1.0,33,315952,57600,258352,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,295511.0,57600.0,0.0,4337738.5,13904183.0,4083440.0,22325364.0,75.5,58.0,648.62,36,0.8176938269104168,0.18230617308958322,0.6227975946999117,0.18290586437918774,0.19429642894064347,33.0
14,1922,1.0,11,92190,25200,66990,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,67390.0,25200.0,0.0,4870847.5,3832369.0,2046793.0,10750010.0,159.5,35.0,511.39,94,0.7266514806378133,0.2733485193621868,0.3564991102333858,0.19039917172170073,0.4531016715333288,11.0
15,2004,1.0,11,412000,57000,355000,Nonresidential COS,Other,"Data Center, Library, Parking",Library,Parking,Data Center,364913.0,49000.0,1074.0,737559.5,17851297.0,0.0,18588860.0,50.79999924,,181.38,12,0.8616504854368932,0.1383495145631068,0.9603223113197904,0.0,0.0396775003953981,11.0
16,1930,1.0,6,103911,0,103911,NonResidential,Other,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,Swimming Pool,90000.0,40000.0,0.0,4592347.5,4453868.0,910180.0,9956396.0,76.59999847,,433.86,86,1.0,0.0,0.44733736986757056,0.09141661299932224,0.4612459669141324,6.0
17,1983,1.0,28,416281,85000,331281,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,348329.0,85000.0,0.0,0.0,21225277.0,12331475.0,33556756.0,96.30000305,31.0,802.89,33,0.7958110026640659,0.20418899733593415,0.6325187392964922,0.3674811415024742,0.0,28.0
18,1907,1.0,5,57452,0,57452,NonResidential,Mixed Use Property,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,Restaurant,Office,16442.0,15505.0,9741.0,1776201.875,3764791.0,2065091.0,7606084.5,132.3999939,,273.02,109,1.0,0.0,0.4949709669935957,0.2715051351322747,0.23352381570307298,5.0
19,1916,1.0,10,104352,0,104352,NonResidential,Hotel,Hotel,Hotel,None,None,104352.0,0.0,0.0,3430862.0,5908370.0,815376.0,10154608.0,97.30000305,39.0,349.32,100,1.0,0.0,0.5818412685157319,0.08029615717317695,0.33786257431109107,10.0
20,1916,1.0,10,540360,0,540360,NonResidential,Other,Courthouse,Courthouse,None,None,537150.0,0.0,0.0,0.0,24357833.0,20626631.0,44984468.0,83.69999695,76.0,1265.29,100,1.0,0.0,0.5414720698708719,0.45852784120954815,0.0,10.0
21,1985,1.0,19,385274,0,385274,NonResidential,Other,Other,Other,None,None,385274.0,0.0,0.0,0.0,18257661.0,29602150.0,47859812.0,124.1999969,,1699.45,31,1.0,0.0,0.3814820877273818,0.6185178913782612,0.0,19.0
22,1961,1.0,2,56228,0,56228,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,58916.0,0.0,0.0,0.0,936955.0,602523.0,1539478.5,26.10000038,95.0,38.53,55,1.0,0.0,0.608618437997023,0.3913812372176682,0.0,2.0
23,2001,1.0,6,88592,30586,58006,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,58006.0,30586.0,0.0,0.0,2266231.0,1397303.0,3663534.5,63.20000076,84.0,90.01,15,0.6547543796279574,0.34524562037204265,0.6185914176596399,0.3814084458601386,0.0,6.0
24,1928,1.0,7,126593,0,126593,NonResidential,University,College/University,College/University,None,None,125000.0,0.0,0.0,0.0,4647474.0,6696211.0,11343686.0,90.69999695,,388.04,88,1.0,0.0,0.40969698914444563,0.590302922700787,0.0,7.0
25,1930,1.0,2,67224,0,67224,NonResidential,Other,Automobile Dealership,Automobile Dealership,None,None,67224.0,0.0,0.0,0.0,1310236.0,0.0,1310236.625,19.5,,9.13,86,1.0,0.0,0.9999995229869261,0.0,0.0,2.0
26,1991,1.0,8,158676,30301,128375,NonResidential,Hotel,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,Retail Store,112676.0,42000.0,4500.0,0.0,572307.0,4755745.0,5328051.5,45.5,,256.57,25,0.8090385439511961,0.19096145604880385,0.10741393922337275,0.892586154619564,0.0,8.0
27,2001,1.0,10,171866,38281,133585,NonResidential,Hotel,Hotel,Hotel,None,None,128909.0,0.0,0.0,0.0,5610706.0,5451210.0,11061916.0,85.80000305,57.0,328.63,15,0.7772625184736947,0.22273748152630538,0.507209239339731,0.492790760660269,0.0,10.0
29,1978,1.0,5,68410,16200,52210,NonResidential,Hotel,Hotel,Hotel,None,None,47994.0,0.0,0.0,0.0,2346349.0,2110365.0,4456714.5,92.90000153,57.0,128.44,38,0.7631925157140769,0.2368074842859231,0.5264750524180986,0.4735248353916321,0.0,5.0
30,1949,1.0,2,160645,0,160645,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,164229.0,0.0,0.0,0.0,1947601.0,4831572.0,6779173.0,41.29999924,75.0,270.18,67,1.0,0.0,0.28729182748397186,0.7127081725160281,0.0,2.0
32,1906,1.0,3,87262,0,87262,NonResidential,Small- and Mid-Sized Office,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,K-12 School,Other - Entertainment/Public Assembly,40943.0,18153.0,4307.0,0.0,1352843.0,2793077.0,4145920.5,61.5,,157.77,110,1.0,0.0,0.3263070288009623,0.6736928505985583,0.0,3.0
33,1994,1.0,4,81871,0,81871,NonResidential,Hotel,Hotel,Hotel,None,None,81871.0,0.0,0.0,0.0,3016399.0,3652169.0,6668568.5,81.5,29.0,215.0,22,1.0,0.0,0.45233081132779845,0.5476691136935911,0.0,4.0
34,1955,1.0,2,110356,0,110356,NonResidential,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,None,None,26225.0,0.0,0.0,0.0,281265.0,37100.0,318364.8125,12.10000038,,3.93,61,1.0,0.0,0.8834676099765265,0.1165329789704696,0.0,2.0
35,1992,1.0,3,494835,0,494835,Campus,Mixed Use Property,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,Laboratory,Non-Refrigerated Warehouse,757027.0,639931.0,459748.0,0.0,150476283.0,297909000.0,448385312.0,221.6999969,8.0,16870.98,24,1.0,0.0,0.3355959238022498,0.6644040115212337,0.0,3.0
36,1961,3.0,2,714095,0,714095,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,Refrigerated Warehouse,Office,616000.0,276000.0,71000.0,0.0,44731153.0,0.0,44731160.0,46.40000153,,311.84,55,1.0,0.0,0.9999998435095356,0.0,0.0,1.0
37,1990,1.0,2,54986,0,54986,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,54986.0,0.0,0.0,0.0,1217589.0,432690.0,1650279.25,30.0,97.0,31.47,26,1.0,0.0,0.7378078588820649,0.262191989628422,0.0,2.0
38,1950,1.0,2,175565,0,175565,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,182861.0,0.0,0.0,0.0,1599684.0,4799443.0,6399127.5,35.0,88.0,266.05,66,1.0,0.0,0.24998470494610397,0.7500152169182439,0.0,2.0
39,1961,1.0,2,94900,0,94900,NonResidential,Small- and Mid-Sized Office,"Non-Refrigerated Warehouse, Office",Office,Non-Refrigerated Warehouse,None,55586.0,39314.0,0.0,0.0,4291585.0,1894876.0,6186461.5,65.19999695,57.0,130.56,55,1.0,0.0,0.6937059254308784,0.30629399374747585,0.0,2.0
40,1900,1.0,2,52554,0,52554,NonResidential,Small- and Mid-Sized Office,"Office, Other - Education",Office,Other - Education,None,51029.0,7849.0,0.0,0.0,1579749.0,1371582.0,2951331.25,50.09999847,83.0,83.86,116,1.0,0.0,0.5352665852062523,0.4647333300862111,0.0,2.0
41,1954,1.0,3,175015,0,175015,NonResidential,K-12 School,K-12 School,K-12 School,None,None,175015.0,0.0,0.0,0.0,2679739.0,4315001.0,6994740.5,40.0,95.0,247.85,62,1.0,0.0,0.3831077078556381,0.6168922206620817,0.0,3.0
42,1911,1.0,3,70586,0,70586,NonResidential,Self-Storage Facility,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,Vocational School,Office,38439.0,28197.0,3859.0,0.0,1500229.0,658400.0,2158629.0,30.60000038,,45.43,105,1.0,0.0,0.69499158956912,0.30500841043087995,0.0,3.0
43,1969,1.0,24,332210,205970,126240,NonResidential,Hotel,Hotel,Hotel,None,None,348630.0,0.0,0.0,0.0,12204406.0,3958787.0,16163194.0,46.40000153,67.0,295.33,47,0.3800006020288372,0.6199993979711628,0.7550739043285628,0.2449260338024774,0.0,24.0
44,1973,1.0,5,168115,0,168115,NonResidential,Large Office,"Data Center, Office, Retail Store",Office,Retail Store,Data Center,103362.0,65676.0,493.0,0.0,9536160.0,0.0,9536161.0,56.29999924,78.0,66.48,43,1.0,0.0,0.9999998951359986,0.0,0.0,5.0
45,1920,1.0,2,57428,0,57428,NonResidential,Other,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Dry Cleaning,51747.0,5681.0,6746.919773235499,0.0,714939.0,532423.0,1247362.0,21.70000076,,33.26,96,1.0,0.0,0.5731607985492584,0.42683920145074167,0.0,2.0
46,1910,1.0,8,59400,0,59400,NonResidential,Small- and Mid-Sized Office,"Office, Retail Store",Office,Retail Store,None,34947.0,4993.0,0.0,0.0,5071973.0,0.0,5071974.0,85.40000153,14.0,35.36,106,1.0,0.0,0.9999998028381061,0.0,0.0,8.0
47,1926,1.0,2,52549,0,52549,NonResidential,Mixed Use Property,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,Restaurant,Office,23500.0,23500.0,5459.0,0.0,4632459.0,10393737.0,15026196.0,286.3999939,,584.31,90,1.0,0.0,0.3082921985045317,0.6917078014954683,0.0,2.0
48,1930,1.0,20,98634,10043,88591,NonResidential,Hotel,"Hotel, Parking, Restaurant",Hotel,Parking,Restaurant,83591.0,10043.0,5000.0,0.0,4290059.0,551288.0,4841347.5,54.59999847,71.0,59.19,86,0.8981791268730863,0.10182087312691364,0.8861291200435416,0.11387077667942655,0.0,20.0
49,1982,1.0,34,994212,146694,847518,NonResidential,Hotel,"Hotel, Parking, Swimming Pool",Hotel,Parking,Swimming Pool,994212.0,117668.0,0.0,11598686.0,45545529.0,23324992.0,80469216.0,80.90000153,63.0,2451.58,34,0.8524519921304511,0.14754800786954894,0.5659994127443717,0.2898622996401506,0.1441381757714652,34.0
50,1985,1.0,7,71150,0,71150,NonResidential,Hotel,"Hotel, Parking, Restaurant, Retail Store",Hotel,Parking,Retail Store,41340.0,13730.0,9604.0,0.0,3243900.0,2104408.0,5348309.0,93.09999847,98.0,134.38,31,1.0,0.0,0.606528156843593,0.3934716561814211,0.0,7.0
51,1908,1.0,7,122810,0,122810,NonResidential,Hotel,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,Other - Entertainment/Public Assembly,Retail Store,88360.0,26450.0,8000.0,0.0,1293561.0,4107716.0,5401277.5,44.0,99.0,227.18,108,1.0,0.0,0.2394916758118797,0.7605082316174275,0.0,7.0
52,1959,1.0,5,113173,42546,70627,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,70627.0,42546.0,0.0,0.0,2944680.0,2339663.0,5284343.5,74.80000305,86.0,144.79,57,0.6240622763379958,0.3759377236620042,0.5572461366298387,0.4427537687510284,0.0,5.0
53,2000,1.0,7,150453,34735,115718,NonResidential,Hotel,Hotel,Hotel,Restaurant,None,107547.0,3000.0,0.0,0.0,3396109.0,3319078.0,6715187.0,60.70000076,84.0,199.95,16,0.7691305590450174,0.23086944095498263,0.5057355811535852,0.49426441884641487,0.0,7.0
54,1997,1.0,6,116300,28200,88100,NonResidential,Hotel,Hotel,Hotel,Parking,None,88490.0,28300.0,0.0,0.0,3188457.0,2639138.0,5827595.5,65.90000153,80.0,162.39,19,0.7575236457437661,0.24247635425623387,0.547130802060644,0.4528691121406762,0.0,6.0
55,1998,1.0,6,155602,36744,118858,NonResidential,Hotel,Hotel,Hotel,None,None,155602.0,0.0,0.0,0.0,4558937.0,2277962.0,6836900.0,43.90000153,81.0,152.76,18,0.7638590763614863,0.23614092363851363,0.666813468092264,0.3331863856426158,0.0,6.0
56,1911,1.0,3,56072,0,56072,NonResidential,K-12 School,K-12 School,K-12 School,None,None,56072.0,0.0,0.0,0.0,551867.0,2682920.0,3234787.75,57.70000076,76.0,146.34,105,1.0,0.0,0.17060377454440404,0.8293959936011258,0.0,3.0
57,1999,1.0,4,122942,44891,78051,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,78051.0,44891.0,0.0,0.0,2423730.0,2913604.0,5337334.0,68.40000153,94.0,171.64,17,0.6348603406484359,0.36513965935156417,0.454108736683895,0.545891263316105,0.0,4.0
58,1962,1.0,2,54984,0,54984,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,54984.0,0.0,0.0,0.0,1978230.0,1396981.0,3375211.0,61.40000153,71.0,87.98,54,1.0,0.0,0.5861055797696796,0.4138944202303204,0.0,2.0
59,1922,1.0,5,217603,0,217603,NonResidential,Senior Care Community,"Parking, Senior Care Community",Senior Care Community,Parking,None,296313.0,0.0,0.0,0.0,11824772.0,30967300.0,42792072.0,144.3999939,54.0,1727.11,94,1.0,0.0,0.27633090540696414,0.7236690945930359,0.0,5.0
60,1970,1.0,2,93397,0,93397,NonResidential,Senior Care Community,Senior Care Community,Senior Care Community,None,None,93397.0,0.0,0.0,0.0,5679498.0,10723064.0,16402563.0,175.6000061,1.0,609.1,46,1.0,0.0,0.3462567404862277,0.6537431985476904,0.0,2.0
61,2008,1.0,6,84103,20732,63371,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,63371.0,20732.0,0.0,0.0,2812688.0,893412.0,3706100.25,58.5,74.0,67.06,8,0.7534927410437202,0.2465072589562798,0.7589346780352204,0.24106525450842836,0.0,6.0
64,1908,1.0,7,76631,0,76631,NonResidential,Hotel,Hotel,Hotel,None,None,76631.0,0.0,0.0,0.0,2660742.0,4598016.0,7258758.5,94.69999695,71.0,262.75,108,1.0,0.0,0.3665560715375777,0.6334438595801196,0.0,7.0
65,1983,1.0,6,99780,9341,90439,NonResidential,Mixed Use Property,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,Parking,Office,40174.0,20868.0,17020.0,5327802.5,10145313.0,0.0,15473117.0,204.5,,481.97,33,0.9063840448987773,0.09361595510122268,0.6556735142634803,0.0,0.3443263887941906,6.0
66,1929,1.0,2,58320,0,58320,NonResidential,Retail Store,Retail Store,Retail Store,None,None,72072.0,0.0,0.0,0.0,361803.0,687945.0,1049748.625,14.60000038,96.0,39.06,87,1.0,0.0,0.34465679819299594,0.6553426064263719,0.0,2.0
67,2010,1.0,5,316306,0,316306,NonResidential,Large Office,"Office, Other, Parking, Retail Store",Office,Parking,Other,261826.0,150726.0,15139.0,0.0,12871091.0,924861.0,13795954.0,48.0,96.0,138.85,6,1.0,0.0,0.9329612870556107,0.06703856797434958,0.0,5.0
68,1990,1.0,7,282863,44766,238097,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,235788.0,51537.0,0.0,0.0,10980652.0,8478651.0,19459304.0,82.5,37.0,526.85,26,0.8417396407448129,0.15826035925518714,0.5642880135897974,0.4357119350209031,0.0,7.0
69,1962,1.0,1,389000,0,389000,Nonresidential COS,Other,Other,Other,None,None,368000.0,0.0,0.0,6093150.0,14419146.0,688680.0,23658978.0,64.30000305,,607.41,54,1.0,0.0,0.6094576866338013,0.02910861153850348,0.25754071033837556,1.0
70,1962,1.0,1,91213,0,91213,Nonresidential COS,Other,Other,Other,None,None,65000.0,0.0,0.0,4120130.0,3754115.0,0.0,8141155.5,125.1999969,,344.2,54,1.0,0.0,0.4611280302900491,0.0,0.5060866359818333,1.0
71,1938,1.0,5,396085,0,396085,Nonresidential COS,Other,Other,Other,None,None,278500.0,0.0,0.0,9763690.0,7252325.0,0.0,20955026.0,75.19999695,,804.2,78,1.0,0.0,0.3460900024652797,0.0,0.46593547533656127,5.0
72,2010,1.0,12,571329,0,571329,NonResidential,Large Office,"Office, Other, Parking",Office,Parking,Other,598801.0,310699.0,26203.0,0.0,32206199.0,7399685.0,39605888.0,63.40000153,91.0,617.52,6,1.0,0.0,0.8131669462883903,0.1868329527165254,0.0,12.0
73,1962,1.0,2,52000,0,52000,Nonresidential COS,Other,Other,Other,None,None,52000.0,0.0,0.0,1202380.0,1293349.0,0.0,2726369.0,52.40000153,,101.83,54,1.0,0.0,0.47438516209654674,0.0,0.44101880559821505,2.0
74,1928,1.0,1,60696,0,60696,Nonresidential COS,Other,Other,Other,None,None,108000.0,0.0,0.0,0.0,875943.0,0.0,875943.3125,8.100000381,,6.11,88,1.0,0.0,0.9999996432417537,0.0,0.0,1.0
75,1928,1.0,2,262048,0,262048,Nonresidential COS,Other,Other,Other,None,None,296000.0,0.0,0.0,5137220.0,13512686.0,0.0,20723248.0,70.0,,490.73,88,1.0,0.0,0.6520544462914307,0.0,0.24789646873887722,2.0
77,2010,1.0,6,920598,303707,616891,NonResidential,Large Office,"Office, Other, Parking",Office,Parking,Other,729584.0,185014.0,6000.0,0.0,27597261.0,9069780.0,36667044.0,49.79999924,93.0,674.09,6,0.6700981318664607,0.3299018681335393,0.7526448273277769,0.2473550908548832,0.0,6.0
78,1970,1.0,4,76213,25930,50283,NonResidential,Small- and Mid-Sized Office,"Office, Other, Parking",Office,Parking,Other,48546.0,21454.0,2406.0,0.0,2944692.0,531520.0,3476212.5,68.19999695,68.0,48.76,46,0.6597693306916143,0.3402306693083857,0.8470978111953743,0.15290204496992058,0.0,4.0
79,2002,1.0,6,96910,36934,59976,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,59976.0,36934.0,0.0,0.0,2637011.0,2518558.0,5155568.5,86.0,56.0,152.14,14,0.6188835001547828,0.3811164998452172,0.5114879183546878,0.48851217862782736,0.0,6.0
80,1962,2.0,4,50017,0,50017,NonResidential,Hotel,"Hotel, Swimming Pool",Hotel,Swimming Pool,None,50017.0,0.0,0.0,0.0,2128306.0,3320669.0,5448975.0,108.9000015,53.0,191.2,54,1.0,0.0,0.3905883216568254,0.6094116783431747,0.0,2.0
82,1923,1.0,3,67743,0,67743,NonResidential,K-12 School,K-12 School,K-12 School,None,None,67743.0,0.0,0.0,0.0,1337786.0,1309093.0,2646879.0,39.09999847,34.0,78.85,93,1.0,0.0,0.5054201570982277,0.49457984290177226,0.0,3.0
83,1908,1.0,6,194104,0,194104,NonResidential,K-12 School,K-12 School,K-12 School,None,None,194104.0,0.0,0.0,0.0,1887893.0,4331949.0,6219841.5,32.0,100.0,243.23,108,1.0,0.0,0.30352750950325663,0.6964725708846439,0.0,6.0
84,2003,1.0,3,99433,35752,63681,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,63681.0,35752.0,0.0,0.0,4897760.0,0.0,4897760.0,76.90000153,63.0,34.14,13,0.6404413021833798,0.35955869781662025,1.0,0.0,0.0,3.0
86,1957,1.0,1,130862,0,130862,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,134446.0,0.0,0.0,0.0,2262820.0,4193207.0,6456026.0,48.0,61.0,238.48,59,1.0,0.0,0.35049734929815957,0.6495028055958882,0.0,1.0
87,1989,1.0,3,59955,0,59955,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,59955.0,0.0,0.0,0.0,1436416.0,196983.0,1633399.375,27.20000076,93.0,20.48,27,1.0,0.0,0.8794028098608768,0.12059696055656934,0.0,3.0
88,1964,1.0,2,93218,0,93218,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,93218.0,0.0,0.0,0.0,1486758.0,1400634.0,2887392.0,31.0,86.0,84.75,52,1.0,0.0,0.5149138045682747,0.48508619543172526,0.0,2.0
89,1941,1.0,4,56521,0,56521,NonResidential,Other,Other,Other,None,None,49000.0,0.0,0.0,0.0,6357631.0,0.0,6357632.0,129.6999969,,44.32,75,1.0,0.0,0.9999998427087318,0.0,0.0,4.0
90,1929,1.0,2,206934,0,206934,NonResidential,Other,"Other, Parking",Other,Parking,None,119146.0,0.0,0.0,0.0,2001103.0,2252474.0,4253577.5,35.70000076,,133.58,87,1.0,0.0,0.4704517550226838,0.5295481274292052,0.0,2.0
91,2001,1.0,4,51390,0,51390,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,51390.0,0.0,0.0,0.0,1398289.0,2213249.0,3611538.0,70.30000305,89.0,127.29,15,1.0,0.0,0.3871727225353852,0.6128272774646149,0.0,4.0
92,1963,1.0,2,131013,0,131013,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,131909.0,0.0,0.0,0.0,1775488.0,2119097.0,3894584.5,29.5,88.0,124.92,53,1.0,0.0,0.4558863724743936,0.5441137559090065,0.0,2.0
93,1959,1.0,1,245587,0,245587,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,245587.0,0.0,0.0,0.0,3926011.0,7839670.0,11765682.0,47.90000153,92.0,443.73,57,1.0,0.0,0.3336832493008055,0.6663166657062464,0.0,1.0
94,2002,1.0,3,69138,0,69138,NonResidential,Hotel,Hotel,Hotel,None,None,70609.0,0.0,0.0,0.0,1802889.0,1439568.0,3242458.0,45.90000153,78.0,89.02,14,1.0,0.0,0.5560253980159496,0.44397429357604634,0.0,3.0
96,1904,1.0,5,190980,0,190980,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,190980.0,19051.0,0.0,0.0,4402910.0,2103084.0,6505995.0,34.09999847,98.0,142.39,112,1.0,0.0,0.6767466006352603,0.32325324566034863,0.0,5.0
97,1998,1.0,6,284100,0,284100,Nonresidential COS,Other,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,None,None,189750.0,0.0,0.0,4311136.0,9803021.0,527343.0,14641502.0,77.19999695,,429.12,18,1.0,0.0,0.6695365680378966,0.036017001534405416,0.2944462938296904,6.0
98,1954,4.0,5,285333,0,285333,NonResidential,Hospital,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),Parking,None,302661.0,148865.0,0.0,0.0,35237205.0,32853512.0,68090728.0,225.0,14.0,1990.5,62,1.0,0.0,0.5175037194491444,0.4824961190016943,0.0,1.0
99,1991,1.0,2,55513,0,55513,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,59097.0,0.0,0.0,0.0,1513571.0,0.0,1513570.75,25.60000038,93.0,10.55,25,1.0,0.0,1.0000001651723252,0.0,0.0,2.0
100,2006,1.0,4,61156,0,61156,Nonresidential COS,Other,"Office, Other",Other,Office,None,42755.0,29219.0,0.0,0.0,6947270.0,2416104.0,9363374.0,130.1000061,,176.75,10,1.0,0.0,0.741962245660592,0.258037754339408,0.0,4.0
101,1910,1.0,4,72820,13820,59000,NonResidential,Other,Museum,Museum,None,None,58000.0,0.0,0.0,0.0,1311669.0,698785.0,2010454.625,34.70000076,,46.26,106,0.8102169733589674,0.1897830266410327,0.6524240754749687,0.34757561365007184,0.0,4.0
102,1996,1.0,4,162222,14200,148022,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,113702.0,32692.0,0.0,0.0,4197462.0,3749499.0,7946961.0,69.90000153,76.0,228.4,20,0.9124656335145664,0.08753436648543354,0.5281845475270358,0.4718154524729642,0.0,4.0
103,1990,1.0,4,289588,0,289588,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,289588.0,0.0,0.0,0.0,6449764.0,2370086.0,8819852.0,30.5,90.0,170.84,26,1.0,0.0,0.7312780305157048,0.26872174272312055,0.0,4.0
